YR MO DY HRMN SEC LATITUDE LONGITUDE DEPTH MAG FAMILY
1998 7 4 1406 23.18 36.95406 -117.51221 4.896 2.9 1604
1998 7 4 1749 25.75 31.81117 -116.1845 1.34 2.5 NaN
1998 7 5 0138 31.4 36.93931 -117.53438 1.873 2.61 1604
1998 7 5 0920 22.95 36.94346 -117.54672 -0.533 2.52 1604
1998 7 5 1533 3.94 36.94114 -117.54711 -0.615 2.67 1604
1998 7 5 1625 14.36 36.92398 -117.54483 2.686 3.68 1604
1998 7 7 0154 40.42 33.18474 -115.59381 2.549 2.96 1607
1998 7 7 0204 20.05 33.18602 -115.59254 2.712 2.71 1607
1998 7 7 0528 1.83 37.004 -117.47667 1.16 2.94 1604
1998 7 7 1914 2.87 33.19812 -115.55414 3.415 2.77 1605
1998 7 8 0616 47.82 31.944 -115.8115 8.288 2.56 NaN
1998 7 8 2159 48.06 31.94617 -115.8305 4.34 2.56 NaN
1998 7 8 2243 15.05 36.98983 -117.48167 -1.38 2.8 1604
1998 7 9 0633 24.83 31.6485 -118.64767 1.69 4.84 NaN
1998 7 9 1345 47.61 35.8242 -117.64759 7.889 2.71 NaN
1998 7 9 1457 29.09 36.17408 -117.8354 9.665 2.9 NaN
1998 7 10 2129 14.24 33.22831 -116.08809 10.883 4.07 NaN
1998 7 11 1539 29.98 35.45619 -118.4137 5.838 3.01 NaN
1998 7 11 1711 8.59 35.92778 -117.23258 6.633 2.9 NaN
1998 7 11 2123 7.7 36.47193 -117.65038 3.136 2.71 NaN
1998 7 12 2329 14.25 31.99535 -115.77638 8.467 2.68 NaN
1998 7 13 0238 39.35 32.00642 -116.28113 6.548 2.52 1608
1998 7 13 0810 45.45 31.92338 -115.80525 3.532 2.91 1587
1998 7 13 1138 42.33 34.99562 -116.95077 7.772 2.53 NaN
1998 7 13 1157 30.59 35.32583 -118.50013 8.302 2.68 NaN
1998 7 13 1658 1.07 36.926 -117.50483 -1.2 2.5 1604
1998 7 14 2139 41.84 37.17767 -117.28883 2.57 2.55 NaN
1998 7 15 0421 57.7 32.27217 -118.99333 14.12 2.51 NaN
1998 7 15 0441 32.23 31.91932 -115.77763 6.166 2.56 1609
1998 7 15 1219 18.48 31.129 -115.86967 4.65 2.5 NaN
1998 7 15 1304 56.28 32.4432 -115.37417 13.393 2.59 NaN
1998 7 16 0341 32.1 36.00977 -117.80494 2.027 2.81 1610
1998 7 16 0342 8.44 36.01013 -117.80513 1.735 2.6 1610
1998 7 16 0653 10.56 31.92033 -115.77759 4.834 3.03 1609
1998 7 16 0720 39.17 37.50317 -118.8845 -1.55 2.6 NaN
1998 7 16 1701 50.9 31.84328 -116.24094 4.129 2.77 NaN
1998 7 16 1850 35.37 35.94717 -115.97733 -1.18 2.57 NaN
1998 7 16 2148 27.94 32.0005 -115.739 2.77 2.58 NaN
1998 7 17 1140 1.99 36.95273 -117.50324 2.213 2.84 1604
1998 7 17 1143 40.98 34.97376 -116.95206 5.934 3.27 1535
1998 7 17 1151 43.94 36.95248 -117.50566 1.991 2.58 1604
1998 7 17 2338 28.2 36.19517 -116.752 13.34 2.5 NaN
1998 7 18 0536 38.08 33.84379 -119.3112 6.994 3.53 NaN
1998 7 18 1129 52.14 31.92314 -115.83849 8.717 2.69 1611
1998 7 20 0730 0.14 37.01617 -117.466 2.33 2.73 NaN
1998 7 20 1621 54.38 33.85816 -116.81944 16.371 2.57 NaN
1998 7 21 0806 36.11 34.4072 -116.49197 4.068 2.98 NaN
1998 7 21 2140 43.94 32.97004 -115.54194 10.058 3.03 NaN
1998 7 22 0353 34.8 31.94917 -115.82 3.6 2.58 NaN
1998 7 22 0712 29.92 33.17662 -116.03394 7.371 2.64 NaN
1998 7 22 0857 36.02 36.9465 -117.4615 -1.24 2.93 NaN
1998 7 22 1348 2.55 33.9814 -116.64322 4.915 2.53 NaN
1998 7 23 0111 37.09 32.0486 -115.5608 8.776 2.7 1612
1998 7 23 1503 26.18 31.926 -115.8395 3.66 2.73 1611
1998 7 24 0854 3.66 33.4821 -116.47733 13.899 2.61 NaN
1998 7 24 1851 41.46 33.16441 -116.57437 15.199 3.88 NaN
1998 7 24 2146 56.8 32.17608 -115.76861 11.695 2.73 NaN
1998 7 27 0115 11.75 31.6615 -116.49883 4.14 3.2 NaN
1998 7 27 0515 7.5 36.85817 -117.62333 1.52 3.3 NaN
1998 7 27 1355 41.44 33.95034 -116.36058 7.991 3.55 NaN
1998 7 27 1948 38.61 32.05008 -115.55979 8.43 3.21 1612
1998 7 28 0604 12.69 32.04953 -115.56063 8.296 3.07 1612
1998 7 28 0615 7.06 36.90167 -117.508 1.6 2.79 NaN
1998 7 29 1400 26.12 36.33083 -120.911 4.9 2.7 NaN
1998 7 29 1513 37.37 32.57387 -115.28746 9.572 3.24 NaN
1998 7 29 1822 45.99 31.36 -115.49017 1.07 3.2 NaN
1998 7 31 0058 34.41 37.3884 -118.61745 0.995 2.72 1473
1998 7 31 0937 14.59 33.31102 -118.8764 7.706 3.17 1613
1998 7 31 1912 8.8 34.12332 -116.84908 3.283 2.83 NaN
1998 8 1 0005 38.5 32.03783 -117.41783 9.77 2.53 NaN
1998 8 2 0044 32.62 33.15018 -115.94209 3.952 2.63 NaN
1998 8 2 0340 23.62 32.00383 -115.76554 6.768 2.74 NaN
1998 8 3 0003 14.73 36.06428 -117.6422 2.594 2.84 1493
1998 8 3 0045 1.24 32.04727 -115.55595 8.269 3.16 1612
1998 8 3 0130 37.73 32.04769 -115.55717 8.24 3.57 1612
1998 8 4 1105 37.73 32.98057 -116.36915 12.742 2.92 NaN
1998 8 5 0450 3.08 34.00323 -116.92519 17.93 2.95 NaN
1998 8 5 1043 44.08 32.95818 -117.68562 10.023 2.82 NaN
1998 8 6 0329 12.48 34.28902 -116.84196 7.472 2.81 1614
1998 8 6 0841 35.11 34.28793 -116.84271 7.53 2.56 1614
1998 8 7 1933 53.03 33.71077 -118.43771 7.164 2.81 NaN
1998 8 7 2223 31.95 36.04067 -120.00267 -1.19 2.53 NaN
1998 8 9 2233 49.11 31.75367 -115.99317 2.18 2.62 NaN
1998 8 10 0413 26.96 33.78164 -117.69005 5.636 2.59 NaN
1998 8 10 1041 57.61 35.03417 -118.92511 10.489 2.58 NaN
1998 8 12 1604 4.14 34.44767 -120.7835 2.15 3.04 NaN
1998 8 12 1816 48.26 34.6404 -117.51301 8.6 3.15 NaN
1998 8 12 1956 6.1 34.843 -117.61283 8.62 3.61 NaN
1998 8 13 0344 58.21 31.89971 -115.81344 4.009 2.77 NaN
1998 8 13 1143 15.94 36.08867 -120.28055 9.877 2.98 1615
1998 8 13 1144 3.32 36.1255 -120.27367 14.58 3.83 1615
1998 8 14 1932 13.03 33.31117 -118.87602 7.301 2.98 1613
1998 8 16 1127 10.3 36.0155 -117.71322 3.266 2.73 NaN
1998 8 16 1334 40.29 34.12374 -116.92277 5.914 4.78 1616
1998 8 16 1442 58.04 34.12376 -116.92306 5.037 2.52 1616
1998 8 16 1515 27.24 34.1239 -116.92385 5.313 2.51 1616
1998 8 16 1655 46.09 34.11394 -116.92075 7.147 2.57 1616
1998 8 16 1905 53.68 34.11646 -116.91872 6.009 3 1616
1998 8 17 0356 16.81 35.95555 -117.31312 6.825 2.68 1617
1998 8 17 0944 47.11 34.27188 -117.20196 7.744 3.42 1616
1998 8 17 2318 1.72 34.12399 -116.92601 6.167 3.24 1616
1998 8 18 1400 13.59 31.919 -115.59617 5.16 2.58 NaN
1998 8 18 1536 23.43 32.96789 -117.81153 13.684 2.56 NaN
1998 8 19 0740 39.09 32.00658 -116.28161 6.285 2.55 1608
1998 8 19 2327 2.95 32.02017 -117.3875 20.23 2.76 NaN
1998 8 20 0236 26.97 31.965 -117.32833 9.4 2.79 NaN
1998 8 20 0732 40.52 37.44667 -118.80017 4.21 3.45 NaN
1998 8 20 2349 58.41 34.37318 -117.65574 8.932 4.4 1618
1998 8 21 0522 54.87 34.34011 -116.49667 11.582 2.68 NaN
1998 8 21 2132 24.22 31.98217 -117.31917 3.56 2.7 NaN
1998 8 22 0058 57.21 35.95579 -117.31331 6.734 3 1617
1998 8 22 1145 49.66 34.40535 -116.46915 6.274 2.59 NaN
1998 8 23 1433 46.1 35.7046 -118.43963 2.547 2.55 NaN
1998 8 23 1531 15.02 34.12309 -116.92217 4.906 2.54 1616
1998 8 23 1542 23.69 34.10609 -116.94487 10.325 3.38 1616
1998 8 23 1557 3.12 34.11998 -116.92152 5.099 2.89 1616
1998 8 23 2155 7.65 36.08817 -120.28061 9.773 2.81 1615
1998 8 24 0630 8.71 37.48406 -118.84118 3.508 2.91 NaN
1998 8 26 1550 15.3 37.16183 -117.8265 4.54 3.62 NaN
1998 8 26 2046 37.2 34.2871 -118.45424 9.228 3.39 NaN
1998 8 26 2151 10.24 34.00562 -118.43049 10.044 2.84 NaN
1998 8 27 0310 18.02 32.52221 -115.22128 7.426 3.42 NaN
1998 8 27 0829 46.08 34.1174 -116.91788 5.63 2.64 1616
